Feature,Std_Coefficient,Std_Error,t_statistic,p_value,Absolute_Std_Coefficient
Yield_Tonnes_Ha,31059.589487612844,774.9639540734793,40.078753759259214,2.0205059231816185e-295,31059.589487612844
Intercept,13555.0245103655,772.0379551107145,17.557458698285934,1.5715151009582145e-66,13555.0245103655
Fertilizer_kg_ha,-5440.829109153286,773.2667919177273,-7.036160308474968,2.3157758184223115e-12,5440.829109153286
Rainfall_mm,4173.539880815214,1004.0788820342262,4.156585658250055,3.298264474297669e-05,4173.539880815214
Soil_Moisture_pct,3441.472147206677,933.1416262564159,3.6880491132018185,0.00022899304553077027,3441.472147206677
Nitrogen_kg_ha,3176.1630813737947,774.1034110472674,4.103021684243497,4.15941880772731e-05,3176.1630813737947
Phosphorus_kg_ha,2587.6841596128993,773.8851888980854,3.3437571835396334,0.0008341537430617236,2587.6841596128993
Potassium_kg_ha,1612.77569759841,773.1039111760135,2.0861046934106473,0.037032582844464326,1612.77569759841
Pesticide_Litre_ha,-1403.0897728443117,773.0845245281741,-1.8149241490775407,0.0696107131025829,1403.0897728443117
Avg_Temperature_C,-972.2024676294045,791.0158738174081,-1.2290555724723928,0.21912353964833836,972.2024676294045
Humidity_pct,716.0074323542084,941.1340305654538,0.7607922029171716,0.44682620530405326,716.0074323542084
Seed_Quality_Score,529.3042901735281,773.5705789797296,0.6842352909435014,0.4938663887298672,529.3042901735281
Sunlight_Hours_Day,-417.48657985634384,843.4772081032271,-0.4949589340951708,0.6206563964978327,417.48657985634384
Soil_pH,-330.1980588760703,773.421837909474,-0.42693138813946796,0.6694523665823457,330.1980588760703
Farm_Area_Hectares,193.32874409229794,773.2374194415098,0.2500250753926711,0.8025808448412025,193.32874409229794
